Vanadium                                                     26-11-07  2000.000K
   67.80000       50105.00       223.8415    
   68.00000       54329.00       233.0858    
   68.20000       51733.00       227.4489    
   68.40000       53430.00       231.1493    
   68.60000       54083.00       232.5575    
   68.80000       54556.00       233.5723    
   69.00000       56677.00       238.0693    
   69.20000       54716.00       233.9145    
   69.40000       53836.00       232.0259    
   69.60000       54468.00       233.3838    
   69.80000       57221.00       239.2091    
   70.00000       51732.00       227.4467    
   70.20000       53257.00       230.7748    
   70.40000       55476.00       235.5334    
   70.60000       53531.00       231.3677    
   70.80000       53643.00       231.6096    
   71.00000       54539.00       233.5359    
   71.20000       56349.00       237.3794    
   71.40000       55261.00       235.0766    
   71.60000       54133.00       232.6650    
   71.80000       57256.00       239.2823    
   72.00000       56005.00       236.6538    
   72.20000       53148.00       230.5385    
   72.40000       54175.00       232.7552    
   72.60000       55531.00       235.6502    
   72.80000       54923.00       234.3566    
   73.00000       55448.00       235.4740    
   73.20000       54668.00       233.8119    
   73.40000       56007.00       236.6580    
   73.60000       54040.00       232.4651    
   73.80000       56906.00       238.5498    
   74.00000       51264.00       226.4155    
   74.20000       52076.00       228.2017    
   74.40000       56451.00       237.5942    
   74.60000       53191.00       230.6317    
   74.80000       53148.00       230.5385    
   75.00000       53916.00       232.1982    
   75.20000       53969.00       232.3123    
   75.40000       54809.00       234.1132    
   75.60000       52551.00       229.2401    
   75.80000       50329.00       224.3413    
   76.00000       54528.00       233.5123    
   76.20000       50378.00       224.4504    
   76.40000       52532.00       229.1986    
   76.60000       54878.00       234.2605    
   76.80000       53605.00       231.5275    
   77.00000       54162.00       232.7273    
   77.20000       54430.00       233.3024    
   77.40000       55843.00       236.3112    
   77.60000       53035.00       230.2933    
   77.80000       55986.00       236.6136    
   78.00000       51976.00       227.9825    
   78.20000       53390.00       231.0628    
   78.40000       53763.00       231.8685    
   78.60000       51986.00       228.0044    
   78.80000       53537.00       231.3806    
   79.00000       53948.00       232.2671    
   79.20000       54262.00       232.9420    
   79.40000       54695.00       233.8696    
   79.60000       52662.00       229.4820    
   79.80000       54926.00       234.3630    
   80.00000       54179.00       232.7638    
   80.20000       52988.00       230.1912    
   80.40000       53664.00       231.6549    
   80.60000       54055.00       232.4973    
   80.80000       54471.00       233.3902    
   81.00000       55944.00       236.5248    
   81.20000       53907.00       232.1788    
   81.40000       53265.00       230.7921    
   81.60000       52087.00       228.2258    
   81.80000       54641.00       233.7542    
   82.00000       49599.00       222.7083    
   82.20000       52432.00       228.9803    
   82.40000       54211.00       232.8326    
   82.60000       52036.00       228.1140    
   82.80000       53596.00       231.5081    
   83.00000       52214.00       228.5038    
   83.20000       52833.00       229.8543    
   83.40000       52590.00       229.3251    
   83.60000       49223.00       221.8626    
   83.80000       49196.00       221.8017    
   84.00000       53621.00       231.5621    
   84.20000       52303.00       228.6985    
   84.40000       54344.00       233.1180    
   84.60000       54308.00       233.0408    
   84.80000       51727.00       227.4357    
   85.00000       53666.00       231.6592    
   85.20000       53631.00       231.5837    
   85.40000       54494.00       233.4395    
   85.60000       52443.00       229.0044    
   85.80000       55759.00       236.1334    
   86.00000       50256.00       224.1785    
   86.20000       51616.00       227.1915    
   86.40000       54180.00       232.7660    
   86.60000       51896.00       227.8069    
   86.80000       52295.00       228.6810    
   87.00000       52161.00       228.3878    
   87.20000       52240.00       228.5607    
   87.40000       53237.00       230.7314    
   87.60000       52078.00       228.2061    
   87.80000       51410.00       226.7377    
   88.00000       53976.00       232.3274    
   88.20000       52512.00       229.1550    
   88.40000       51291.00       226.4752    
   88.60000       50852.00       225.5039    
   88.80000       51808.00       227.6137    
   89.00000       52478.00       229.0808    
   89.20000       52468.00       229.0589    
   89.40000       52942.00       230.0913    
   89.60000       51537.00       227.0176    
   89.80000       55301.00       235.1617    
   90.00000       50509.00       224.7421    
   90.20000       52101.00       228.2564    
   90.40000       52987.00       230.1891    
   90.60000       50985.00       225.7986    
   90.80000       51546.00       227.0374    
   91.00000       51516.00       226.9714    
   91.20000       52765.00       229.7063    
   91.40000       52140.00       228.3418    
   91.60000       51359.00       226.6252    
   91.80000       49648.00       222.8183    
   92.00000       59609.00       244.1496    
   92.20000       51472.00       226.8744    
   92.40000       52236.00       228.5520    
   92.60000       53827.00       232.0065    
   92.80000       53457.00       231.2077    
   93.00000       53345.00       230.9654    
   93.20000       52588.00       229.3207    
   93.40000       54146.00       232.6929    
   93.60000       51845.00       227.6950    
   93.80000       55883.00       236.3959    
   94.00000       51936.00       227.8947    
   94.20000       52031.00       228.1030    
   94.40000       52005.00       228.0461    
   94.60000       51306.00       226.5083    
   94.80000       51878.00       227.7674    
   95.00000       52405.00       228.9214    
   95.20000       54513.00       233.4802    
   95.40000       53137.00       230.5146    
   95.60000       52026.00       228.0921    
   95.80000       54182.00       232.7703    
   96.00000       48925.00       221.1900    
   96.20000       53185.00       230.6187    
   96.40000       53808.00       231.9655    
   96.60000       53358.00       230.9935    
   96.80000       52033.00       228.1074    
   97.00000       52052.00       228.1491    
   97.20000       52986.00       230.1869    
   97.40000       53895.00       232.1530    
   97.60000       52467.00       229.0568    
   97.80000       56915.00       238.5686    
   98.00000       51494.00       226.9229    
   98.20000       51692.00       227.3587    
   98.40000       54328.00       233.0837    
   98.60000       52257.00       228.5979    
   98.80000       53160.00       230.5645    
   99.00000       52558.00       229.2553    
   99.20000       53419.00       231.1255    
   99.40000       55037.00       234.5997    
   99.60000       53348.00       230.9719    
   99.80000       53212.00       230.6773    
   100.0000       52638.00       229.4297    
   100.2000       52222.00       228.5213    
   100.4000       52080.00       228.2104    
   100.6000       51801.00       227.5983    
   100.8000       53038.00       230.2998    
   101.0000       54993.00       234.5059    
   101.2000       54489.00       233.4288    
   101.4000       55366.00       235.2998    
   101.6000       52843.00       229.8761    
   101.8000       55799.00       236.2181    
   102.0000       51403.00       226.7223    
   102.2000       53498.00       231.2963    
   102.4000       54516.00       233.4866    
   102.6000       51864.00       227.7367    
   102.8000       53349.00       230.9740    
   103.0000       53655.00       231.6355    
   103.2000       55013.00       234.5485    
   103.4000       54905.00       234.3182    
   103.6000       53699.00       231.7305    
   103.8000       54732.00       233.9487    
   104.0000       58090.00       241.0187    
   104.2000       51998.00       228.0307    
   104.4000       53046.00       230.3172    
   104.6000       54746.00       233.9786    
   104.8000       53695.00       231.7218    
   105.0000       53537.00       231.3806    
   105.2000       54560.00       233.5808    
   105.4000       55325.00       235.2127    
   105.6000       51982.00       227.9956    
   105.8000       56750.00       238.2226    
   106.0000       52269.00       228.6241    
   106.2000       53518.00       231.3396    
   106.4000       54665.00       233.8055    
   106.6000       52935.00       230.0761    
   106.8000       53503.00       231.3072    
   107.0000       52506.00       229.1419    
   107.2000       56327.00       237.3331    
   107.4000       55493.00       235.5695    
   107.6000       52823.00       229.8326    
   107.8000       53364.00       231.0065    
   108.0000       54816.00       234.1282    
   108.2000       52393.00       228.8952    
   108.4000       53695.00       231.7218    
   108.6000       55011.00       234.5442    
   108.8000       54041.00       232.4672    
   109.0000       54785.00       234.0620    
   109.2000       54915.00       234.3395    
   109.4000       55746.00       236.1059    
   109.6000       54158.00       232.7187    
   109.8000       57143.00       239.0460    
   110.0000       52978.00       230.1695    
   110.2000       53724.00       231.7844    
   110.4000       54945.00       234.4035    
   110.6000       53602.00       231.5211    
   110.8000       54340.00       233.1094    
   111.0000       53480.00       231.2574    
   111.2000       54757.00       234.0021    
   111.4000       55218.00       234.9851    
   111.6000       52302.00       228.6963    
   111.8000       48425.00       220.0568    
   112.0000       52399.00       228.9083    
   112.2000       52523.00       229.1790    
   112.4000       52323.00       228.7422    
   112.6000       53091.00       230.4148    
   112.8000       53435.00       231.1601    
   113.0000       54357.00       233.1459    
   113.2000       53683.00       231.6959    
   113.4000       53605.00       231.5275    
   113.6000       51866.00       227.7411    
   113.8000       55347.00       235.2594    
   114.0000       49981.00       223.5643    
   114.2000       51117.00       226.0907    
   114.4000       53901.00       232.1659    
   114.6000       52477.00       229.0786    
   114.8000       52548.00       229.2335    
   115.0000       51666.00       227.3016    
   115.2000       52370.00       228.8449    
   115.4000       52499.00       229.1266    
   115.6000       50145.00       223.9308    
   115.8000       42815.00       206.9179    
   116.0000       50754.00       225.2865    
   116.2000       51054.00       225.9513    
   116.4000       51650.00       227.2664    
   116.6000       52152.00       228.3681    
   116.8000       52266.00       228.6176    
   117.0000       52250.00       228.5826    
   117.2000       50494.00       224.7087    
   117.4000       52560.00       229.2597    
   117.6000       49665.00       222.8565    
   117.8000       53794.00       231.9353    
   118.0000       48114.00       219.3490    
   118.2000       47748.00       218.5132    
   118.4000       51153.00       226.1703    
   118.6000       47530.00       218.0138    
   118.8000       48182.00       219.5040    
   119.0000       50096.00       223.8214    
   119.2000       49965.00       223.5285    
   119.4000       46427.00       215.4693    
   119.6000       47311.00       217.5109    
   119.8000       45032.00       212.2074    
   120.0000       50128.00       223.8928    
   120.2000       47146.00       217.1313    
   120.4000       47593.00       218.1582    
   120.6000       49428.00       222.3241    
   120.8000       48091.00       219.2966    
   121.0000       47660.00       218.3117    
   121.2000       46572.00       215.8055    
   121.4000       47919.00       218.9041    
   121.6000       47134.00       217.1037    
   121.8000       48572.00       220.3906    
   122.0000       45291.00       212.8168    
   122.2000       46179.00       214.8930    
   122.4000       46430.00       215.4762    
   122.6000       45856.00       214.1401    
   122.8000       45145.00       212.4735    
   123.0000       44931.00       211.9693    
   123.2000       45280.00       212.7910    
   123.4000       45684.00       213.7382    
   123.6000       52558.00       229.2553    
   123.8000       54063.00       232.5145    
   124.0000       64119.00       253.2173    
   124.2000       53581.00       231.4757    
   124.4000       54127.00       232.6521    
   124.6000       55375.00       235.3189    
   124.8000       53769.00       231.8814    
   125.0000       54863.00       234.2285    
   125.2000       54061.00       232.5102    
   125.4000       54929.00       234.3694    
   125.6000       52403.00       228.9170    
   125.8000       55664.00       235.9322    
   126.0000       50743.00       225.2621    
   126.2000       50960.00       225.7432    
   126.4000       53439.00       231.1688    
   126.6000       51174.00       226.2167    
   126.8000       50729.00       225.2310    
   127.0000       50897.00       225.6036    
   127.2000       52009.00       228.0548    
   127.4000       52678.00       229.5169    
   127.6000       51458.00       226.8436    
   127.8000       51613.00       227.1850    
